Название;Жанр;Участники;Синглы;Альбомы;Дата основания;Описание;Координаты.x;Координаты.y;Студия.Название;Студия.Адрес;Лучший альбом.Название;Лучший альбом.Длительность
Qapczahvmtknatp;PROGRESSIVE_ROCK;8;34;19;1960-08-08;Cejdptpuwxsbtahfyicuzbryfmeyntfxvv Bhovwcgpcitfmrd;117.412890;-84;;;Rsueioecpqnnyyj;172
Cyszftekmapmviz;BRIT_POP;3;34;13;1979-04-07;Hri C Wbrgcottirxxxbozrnuledvztbvjloskbleasbspnfqb;-106.359384;-46;Mqnksuznyccd;Mrndpbyvxssn Mfflmkjpogceajxru;Kurludlvlmjqwhv;110
Zqkzzctvppbnwyh;PROGRESSIVE_ROCK;7;2;19;1995-11-23;;75.348506;48;Hrr Dytdwpo ;Zzdlpewxwvkidnxybtygr Yqrydlnn;Krosijcldluiikq;109
Tlsgrmjytiniimm;PROGRESSIVE_ROCK;4;31;8;2002-03-01;Xuzlxkgaciabsaoeekssbwzrqjovaoexrgmbuxxwtabaxyolmf;109.434047;-23;Lnefimnicks ;Mvuddhoixpcrntbawijhbvcmksmwsd;Ttozrbetptdlius;159
Yicryokkdzhezri;;2;40;10;1999-09-07;Bflxsgkauvvpxvmlmkznijeyrqdtpityqifinkskcapcoeaeab;135.036009;20;;;Neltpwjupyvofve;152
Enipwqulbduzpup;POST_PUNK;4;20;14;2020-02-20; Zzhmuvkxhprtwxaulzoikmtzpacdqrysjhzlbm Cuyjppstdd;90.259937;37;Fjmxvqrcthek;Q Rfijrcdbm Gdcwozdxhhmxluhdcc;Dmviiytemthykpx;110
Zlybsihdxixftne;BRIT_POP;5;50;17;2004-11-11;;137.177729;-31;Wrc Bwuawvs ;Jhzdtoqwxlrchyffcdghlrxwwyxund;Qywtccpbrvfspug;76
 Feguybaktfglit;POST_PUNK;4;30;16;1989-04-20;Bcprfuljqexifgh Blpvrtklnhwimluzpggjoa Zctifsbieii;-90.181526;44;Xjuczpufftrf;Powomefugugjaejtwvgdixii Pemwk;Cncyhloclduqlek;149
Szvisrmefeggcru;POST_PUNK;2;15;14;1968-02-23;Ttbaydvmnzjanonlgxvewscddtvwbxzvdvovkhruaemfnhiyov;-113.168104;42;Tdkfmnqdyqjr;Afdfhxiswekyxdghdmceyeuaoikoel;Fdwpcupqkakafpa;30
Ehmdbgblcvxevzf;PROGRESSIVE_ROCK;2;30;10;1979-07-24;Tgilbogolithjtdbhmrolsmgspbhzvtyuetbbesiontlfibsln;152.503812;-26;Rxxzmlonzjun;Kvbvwibjpauddcgpxyrhmcmyxtvcgg;;
Sjafwbfrlptxmxo;POST_PUNK;6;13;5;1994-09-21;Fjswjldybji Aojopmmwlizfkhjeffsyoniebinqmdylybllde;-127.598218;54;Foegkbsebayi;Peayxjbfepdfacxvtvqbyjtqjebjce;Oemewedenbsyrgy;172
Yqupgvtuxwxbafm;;;12;8;2022-08-14;Pbroivnkvsljgkzudysaikwhqyrpxhfsuodnpmtxxwmwaimlwc;40.483619;-37;;;Kinuifylnoksail;69
